,year_report,month_report,date_report,m_,date_forecast,bank,value
46,2016,2,2016-02-29,4,2016-06-30,morgan stanley,1100.0
47,2016,2,2016-02-29,4,2016-06-30,euromonitor international,1054.35026305121
48,2016,2,2016-02-29,4,2016-06-30,citigroup,1080.0
49,2016,2,2016-02-29,4,2016-06-30,bank of china international,1020.0
50,2016,2,2016-02-29,4,2016-06-30,australia dept of industry,1011.0
51,2016,2,2016-02-29,4,2016-06-30,deutsche bank,1050.0
52,2016,2,2016-02-29,4,2016-06-30,societe generale,1020.0
53,2016,2,2016-02-29,4,2016-06-30,bnp paribas,980.0
54,2016,2,2016-02-29,7,2016-09-30,consensus mean,1106.728175671079
55,2016,2,2016-02-29,7,2016-09-30,high,1275.0
56,2016,2,2016-02-29,7,2016-09-30,low,940.0
57,2016,2,2016-02-29,7,2016-09-30,boa merrill lynch,1100.0
58,2016,2,2016-02-29,7,2016-09-30,ubs,1275.0
59,2016,2,2016-02-29,7,2016-09-30,anz,1205.0
60,2016,2,2016-02-29,7,2016-09-30,capital economics,1175.0
61,2016,2,2016-02-29,7,2016-09-30,oxford economics,1190.0
62,2016,2,2016-02-29,7,2016-09-30,rbc capital markets,1200.0
63,2016,2,2016-02-29,7,2016-09-30,credit suisse,1150.0
64,2016,2,2016-02-29,7,2016-09-30,macquarie,1150.0
65,2016,2,2016-02-29,7,2016-09-30,investec,1150.0
66,2016,2,2016-02-29,7,2016-09-30,scotiabank,1150.0
67,2016,2,2016-02-29,7,2016-09-30,ihs global insight,1131.27974736131
68,2016,2,2016-02-29,7,2016-09-30,econ intelligence unit,1100.0
69,2016,2,2016-02-29,7,2016-09-30,commonwealth bank,1132.10963338387
70,2016,2,2016-02-29,7,2016-09-30,cpm group,1113.0
71,2016,2,2016-02-29,7,2016-09-30,liberium capital,1115.3311531939
72,2016,2,2016-02-29,7,2016-09-30,banco de credito del peru,1115.0
73,2016,2,2016-02-29,7,2016-09-30,wilson htm,1100.0
74,2016,2,2016-02-29,7,2016-09-30,morgan stanley,1065.0
75,2016,2,2016-02-29,7,2016-09-30,euromonitor international,1055.48385783789
76,2016,2,2016-02-29,7,2016-09-30,citigroup,1060.0
77,2016,2,2016-02-29,7,2016-09-30,bank of china international,1000.0
78,2016,2,2016-02-29,7,2016-09-30,australia dept of industry,1011.0
79,2016,2,2016-02-29,7,2016-09-30,deutsche bank,1000.0
80,2016,2,2016-02-29,7,2016-09-30,societe generale,985.0
81,2016,2,2016-02-29,7,2016-09-30,bnp paribas,940.0
82,2016,2,2016-02-29,10,2016-12-31,consensus mean,1114.970961253012
83,2016,2,2016-02-29,10,2016-12-31,high,1250.0
84,2016,2,2016-02-29,10,2016-12-31,low,845.0
85,2016,2,2016-02-29,10,2016-12-31,boa merrill lynch,1250.0
86,2016,2,2016-02-29,10,2016-12-31,ubs,1250.0
87,2016,2,2016-02-29,10,2016-12-31,anz,1235.0
88,2016,2,2016-02-29,10,2016-12-31,capital economics,1225.0
89,2016,2,2016-02-29,10,2016-12-31,oxford economics,1200.0
90,2016,2,2016-02-29,10,2016-12-31,rbc capital markets,1200.0
91,2016,2,2016-02-29,10,2016-12-31,credit suisse,1175.0
92,2016,2,2016-02-29,10,2016-12-31,macquarie,1160.0
93,2016,2,2016-02-29,10,2016-12-31,investec,1150.0
94,2016,2,2016-02-29,10,2016-12-31,scotiabank,1150.0
95,2016,2,2016-02-29,10,2016-12-31,ihs global insight,1145.82296318061
96,2016,2,2016-02-29,10,2016-12-31,econ intelligence unit,1140.0
97,2016,2,2016-02-29,10,2016-12-31,commonwealth bank,1138.68345003273
98,2016,2,2016-02-29,10,2016-12-31,cpm group,1130.0
99,2016,2,2016-02-29,10,2016-12-31,liberium capital,1115.3311531939
100,2016,2,2016-02-29,10,2016-12-31,banco de credito del peru,1110.0
101,2016,2,2016-02-29,10,2016-12-31,wilson htm,1100.0
102,2016,2,2016-02-29,10,2016-12-31,morgan stanley,1080.0
103,2016,2,2016-02-29,10,2016-12-31,euromonitor international,1058.43646491806
104,2016,2,2016-02-29,10,2016-12-31,citigroup,1050.0
105,2016,2,2016-02-29,10,2016-12-31,bank of china international,1020.0
106,2016,2,2016-02-29,10,2016-12-31,australia dept of industry,1011.0
107,2016,2,2016-02-29,10,2016-12-31,deutsche bank,980.0
108,2016,2,2016-02-29,10,2016-12-31,societe generale,955.0
109,2016,2,2016-02-29,10,2016-12-31,bnp paribas,845.0
110,2016,2,2016-02-29,13,2017-03-31,consensus mean,1160.803698539083
111,2016,2,2016-02-29,13,2017-03-31,high,1256.0
112,2016,2,2016-02-29,13,2017-03-31,low,870.0
113,2016,2,2016-02-29,13,2017-03-31,boa merrill lynch,1150.0
114,2016,2,2016-02-29,13,2017-03-31,ubs,1250.0
115,2016,2,2016-02-29,13,2017-03-31,anz,1250.0
116,2016,2,2016-02-29,13,2017-03-31,capital economics,1250.0
117,2016,2,2016-02-29,13,2017-03-31,oxford economics,1226.448
118,2016,2,2016-02-29,13,2017-03-31,rbc capital markets,1250.0
119,2016,2,2016-02-29,13,2017-03-31,credit suisse,1175.0
120,2016,2,2016-02-29,13,2017-03-31,macquarie,1200.0
121,2016,2,2016-02-29,13,2017-03-31,investec,1175.0
122,2016,2,2016-02-29,13,2017-03-31,scotiabank,1250.0
123,2016,2,2016-02-29,13,2017-03-31,ihs global insight,1136.23545094831
124,2016,2,2016-02-29,13,2017-03-31,econ intelligence unit,1200.0
125,2016,2,2016-02-29,13,2017-03-31,commonwealth bank,1151.10407767581
126,2016,2,2016-02-29,13,2017-03-31,cpm group,1143.0
127,2016,2,2016-02-29,13,2017-03-31,liberium capital,1115.3311531939
128,2016,2,2016-02-29,13,2017-03-31,banco de credito del peru,1100.0
129,2016,2,2016-02-29,13,2017-03-31,wilson htm,1125.0
130,2016,2,2016-02-29,13,2017-03-31,morgan stanley,1150.0
131,2016,2,2016-02-29,13,2017-03-31,euromonitor international,1064.5626860418
132,2016,2,2016-02-29,13,2017-03-31,australia dept of industry,1256.0
133,2016,2,2016-02-29,13,2017-03-31,deutsche bank,1050.0
134,2016,2,2016-02-29,13,2017-03-31,bnp paribas,870.0
135,2016,2,2016-02-29,16,2017-06-30,consensus mean,1167.3381083904535
136,2016,2,2016-02-29,16,2017-06-30,high,1275.0
137,2016,2,2016-02-29,16,2017-06-30,low,880.0
138,2016,2,2016-02-29,16,2017-06-30,boa merrill lynch,1200.0
139,2016,2,2016-02-29,16,2017-06-30,ubs,1200.0
140,2016,2,2016-02-29,16,2017-06-30,anz,1275.0
141,2016,2,2016-02-29,16,2017-06-30,capital economics,1250.0
142,2016,2,2016-02-29,16,2017-06-30,oxford economics,1230.985
143,2016,2,2016-02-29,16,2017-06-30,rbc capital markets,1250.0
144,2016,2,2016-02-29,16,2017-06-30,credit suisse,1175.0
145,2016,2,2016-02-29,16,2017-06-30,macquarie,1200.0
146,2016,2,2016-02-29,16,2017-06-30,investec,1175.0
147,2016,2,2016-02-29,16,2017-06-30,scotiabank,1250.0
148,2016,2,2016-02-29,16,2017-06-30,ihs global insight,1136.36047360328
149,2016,2,2016-02-29,16,2017-06-30,econ intelligence unit,1220.0
150,2016,2,2016-02-29,16,2017-06-30,commonwealth bank,1164.20838584385
151,2016,2,2016-02-29,16,2017-06-30,cpm group,1140.0
152,2016,2,2016-02-29,16,2017-06-30,liberium capital,1115.3311531939
153,2016,2,2016-02-29,16,2017-06-30,banco de credito del peru,1115.0
154,2016,2,2016-02-29,16,2017-06-30,wilson htm,1125.0
155,2016,2,2016-02-29,16,2017-06-30,morgan stanley,1150.0
156,2016,2,2016-02-29,16,2017-06-30,euromonitor international,1073.55337194895
157,2016,2,2016-02-29,16,2017-06-30,australia dept of industry,1256.0
158,2016,2,2016-02-29,16,2017-06-30,deutsche bank,1100.0
159,2016,2,2016-02-29,16,2017-06-30,bnp paribas,880.0
160,2016,2,2016-02-29,19,2017-09-30,consensus mean,1175.0031293131958
161,2016,2,2016-02-29,19,2017-09-30,high,1325.0
162,2016,2,2016-02-29,19,2017-09-30,low,855.0
163,2016,2,2016-02-29,19,2017-09-30,ubs,1275.0
164,2016,2,2016-02-29,19,2017-09-30,anz,1325.0
165,2016,2,2016-02-29,19,2017-09-30,capital economics,1250.0
166,2016,2,2016-02-29,19,2017-09-30,oxford economics,1235.663
167,2016,2,2016-02-29,19,2017-09-30,rbc capital markets,1250.0
168,2016,2,2016-02-29,19,2017-09-30,credit suisse,1175.0
169,2016,2,2016-02-29,19,2017-09-30,macquarie,1225.0
170,2016,2,2016-02-29,19,2017-09-30,investec,1200.0
171,2016,2,2016-02-29,19,2017-09-30,scotiabank,1250.0
172,2016,2,2016-02-29,19,2017-09-30,ihs global insight,1134.39779698727
173,2016,2,2016-02-29,19,2017-09-30,econ intelligence unit,1210.0
174,2016,2,2016-02-29,19,2017-09-30,commonwealth bank,1188.95466246873
175,2016,2,2016-02-29,19,2017-09-30,cpm group,1151.0
176,2016,2,2016-02-29,19,2017-09-30,liberium capital,1115.3311531939
177,2016,2,2016-02-29,19,2017-09-30,banco de credito del peru,1120.0
178,2016,2,2016-02-29,19,2017-09-30,wilson htm,1125.0
179,2016,2,2016-02-29,19,2017-09-30,morgan stanley,1150.0
180,2016,2,2016-02-29,19,2017-09-30,euromonitor international,1083.71910292721
181,2016,2,2016-02-29,19,2017-09-30,australia dept of industry,1256.0
182,2016,2,2016-02-29,19,2017-09-30,deutsche bank,1100.0
183,2016,2,2016-02-29,19,2017-09-30,bnp paribas,855.0
184,2016,2,2016-02-29,22,2017-12-31,consensus mean,1181.9937320451554
185,2016,2,2016-02-29,22,2017-12-31,high,1375.0
186,2016,2,2016-02-29,22,2017-12-31,low,840.0
187,2016,2,2016-02-29,22,2017-12-31,ubs,1275.0
188,2016,2,2016-02-29,22,2017-12-31,anz,1375.0
189,2016,2,2016-02-29,22,2017-12-31,capital economics,1250.0
190,2016,2,2016-02-29,22,2017-12-31,oxford economics,1240.357
191,2016,2,2016-02-29,22,2017-12-31,rbc capital markets,1250.0
192,2016,2,2016-02-29,22,2017-12-31,credit suisse,1175.0
193,2016,2,2016-02-29,22,2017-12-31,macquarie,1250.0
194,2016,2,2016-02-29,22,2017-12-31,investec,1200.0
195,2016,2,2016-02-29,22,2017-12-31,scotiabank,1250.0
196,2016,2,2016-02-29,22,2017-12-31,ihs global insight,1132.88316604082
197,2016,2,2016-02-29,22,2017-12-31,econ intelligence unit,1190.0
198,2016,2,2016-02-29,22,2017-12-31,commonwealth bank,1218.6849864828
199,2016,2,2016-02-29,22,2017-12-31,cpm group,1163.0
200,2016,2,2016-02-29,22,2017-12-31,liberium capital,1115.3311531939
201,2016,2,2016-02-29,22,2017-12-31,banco de credito del peru,1125.0
202,2016,2,2016-02-29,22,2017-12-31,wilson htm,1125.0
203,2016,2,2016-02-29,22,2017-12-31,morgan stanley,1150.0
204,2016,2,2016-02-29,22,2017-12-31,euromonitor international,1090.61206723074
205,2016,2,2016-02-29,22,2017-12-31,australia dept of industry,1256.0
206,2016,2,2016-02-29,22,2017-12-31,deutsche bank,1150.0
207,2016,2,2016-02-29,22,2017-12-31,bnp paribas,840.0
208,2016,3,2016-03-31,3,2016-06-30,consensus mean,1143.1059463210504
209,2016,3,2016-03-31,3,2016-06-30,high,1250.0
210,2016,3,2016-03-31,3,2016-06-30,low,1011.0
211,2016,3,2016-03-31,3,2016-06-30,capital economics,1170.0
212,2016,3,2016-03-31,3,2016-06-30,boa merrill lynch,1250.0
213,2016,3,2016-03-31,3,2016-06-30,ubs,1165.0
214,2016,3,2016-03-31,3,2016-06-30,anz,1145.71
215,2016,3,2016-03-31,3,2016-06-30,deutsche bank,1230.0
216,2016,3,2016-03-31,3,2016-06-30,macquarie,1190.0
217,2016,3,2016-03-31,3,2016-06-30,cpm group,1180.0
218,2016,3,2016-03-31,3,2016-06-30,oxford economics,1150.0
219,2016,3,2016-03-31,3,2016-06-30,td economics,1165.0
220,2016,3,2016-03-31,3,2016-06-30,morgan stanley,1168.96923076923
221,2016,3,2016-03-31,3,2016-06-30,credit suisse,1150.0
222,2016,3,2016-03-31,3,2016-06-30,econ intelligence unit,1175.0
223,2016,3,2016-03-31,3,2016-06-30,ihs global insight,1135.0
224,2016,3,2016-03-31,3,2016-06-30,investec,1120.0
225,2016,3,2016-03-31,3,2016-06-30,rbc capital markets,1150.0
226,2016,3,2016-03-31,3,2016-06-30,commonwealth bank,1115.0
227,2016,3,2016-03-31,3,2016-06-30,moodys analytics,1145.57
228,2016,3,2016-03-31,3,2016-06-30,liberum capital,1115.3311531939
229,2016,3,2016-03-31,3,2016-06-30,banco de credito del peru,1120.0
230,2016,3,2016-03-31,3,2016-06-30,citigroup,1185.0
231,2016,3,2016-03-31,3,2016-06-30,wilson htm,1100.0
232,2016,3,2016-03-31,3,2016-06-30,euromonitor international,1057.96232774208
233,2016,3,2016-03-31,3,2016-06-30,australia dept of industry,1011.0
234,2016,3,2016-03-31,3,2016-06-30,societe generale,1040.0
235,2016,3,2016-03-31,6,2016-09-30,consensus mean,1161.3985797701187
236,2016,3,2016-03-31,6,2016-09-30,high,1350.0
237,2016,3,2016-03-31,6,2016-09-30,low,1011.0
238,2016,3,2016-03-31,6,2016-09-30,capital economics,1290.0
239,2016,3,2016-03-31,6,2016-09-30,boa merrill lynch,1350.0
240,2016,3,2016-03-31,6,2016-09-30,ubs,1210.0
241,2016,3,2016-03-31,6,2016-09-30,anz,1245.0
242,2016,3,2016-03-31,6,2016-09-30,deutsche bank,1150.0
243,2016,3,2016-03-31,6,2016-09-30,macquarie,1215.0
244,2016,3,2016-03-31,6,2016-09-30,cpm group,1197.0
245,2016,3,2016-03-31,6,2016-09-30,oxford economics,1170.0
246,2016,3,2016-03-31,6,2016-09-30,td economics,1225.0
247,2016,3,2016-03-31,6,2016-09-30,morgan stanley,1180.0
248,2016,3,2016-03-31,6,2016-09-30,credit suisse,1125.0
249,2016,3,2016-03-31,6,2016-09-30,econ intelligence unit,1150.0
250,2016,3,2016-03-31,6,2016-09-30,ihs global insight,1178.15378313675
251,2016,3,2016-03-31,6,2016-09-30,investec,1120.0
252,2016,3,2016-03-31,6,2016-09-30,rbc capital markets,1150.0
253,2016,3,2016-03-31,6,2016-09-30,commonwealth bank,1117.97071510099
254,2016,3,2016-03-31,6,2016-09-30,moodys analytics,1129.76
255,2016,3,2016-03-31,6,2016-09-30,liberum capital,1115.3311531939
256,2016,3,2016-03-31,6,2016-09-30,banco de credito del peru,1120.0
257,2016,3,2016-03-31,6,2016-09-30,citigroup,1250.0
258,2016,3,2016-03-31,6,2016-09-30,wilson htm,1100.0
259,2016,3,2016-03-31,6,2016-09-30,euromonitor international,1054.35026305121
260,2016,3,2016-03-31,6,2016-09-30,australia dept of industry,1011.0
261,2016,3,2016-03-31,6,2016-09-30,societe generale,1020.0
262,2016,3,2016-03-31,9,2016-12-31,consensus mean,1152.2117001476465
263,2016,3,2016-03-31,9,2016-12-31,high,1315.0
264,2016,3,2016-03-31,9,2016-12-31,low,985.0
265,2016,3,2016-03-31,9,2016-12-31,capital economics,1315.0
266,2016,3,2016-03-31,9,2016-12-31,boa merrill lynch,1150.0
267,2016,3,2016-03-31,9,2016-12-31,ubs,1275.0
268,2016,3,2016-03-31,9,2016-12-31,anz,1240.0
269,2016,3,2016-03-31,9,2016-12-31,deutsche bank,1170.0
270,2016,3,2016-03-31,9,2016-12-31,macquarie,1175.0
271,2016,3,2016-03-31,9,2016-12-31,cpm group,1191.0
272,2016,3,2016-03-31,9,2016-12-31,oxford economics,1190.0
273,2016,3,2016-03-31,9,2016-12-31,td economics,1200.0
274,2016,3,2016-03-31,9,2016-12-31,morgan stanley,1150.0
275,2016,3,2016-03-31,9,2016-12-31,credit suisse,1150.0
276,2016,3,2016-03-31,9,2016-12-31,econ intelligence unit,1150.0
277,2016,3,2016-03-31,9,2016-12-31,ihs global insight,1152.11615912786
278,2016,3,2016-03-31,9,2016-12-31,investec,1150.0
279,2016,3,2016-03-31,9,2016-12-31,rbc capital markets,1150.0
280,2016,3,2016-03-31,9,2016-12-31,commonwealth bank,1132.10963338387
281,2016,3,2016-03-31,9,2016-12-31,moodys analytics,1121.04
282,2016,3,2016-03-31,9,2016-12-31,liberum capital,1115.3311531939
283,2016,3,2016-03-31,9,2016-12-31,banco de credito del peru,1115.0
284,2016,3,2016-03-31,9,2016-12-31,citigroup,1210.0
285,2016,3,2016-03-31,9,2016-12-31,wilson htm,1100.0
286,2016,3,2016-03-31,9,2016-12-31,euromonitor international,1055.48385783789
287,2016,3,2016-03-31,9,2016-12-31,australia dept of industry,1011.0
288,2016,3,2016-03-31,9,2016-12-31,societe generale,985.0
289,2016,3,2016-03-31,12,2017-03-31,consensus mean,1158.6696888843496
290,2016,3,2016-03-31,12,2017-03-31,high,1340.0
291,2016,3,2016-03-31,12,2017-03-31,low,955.0
292,2016,3,2016-03-31,12,2017-03-31,capital economics,1340.0
293,2016,3,2016-03-31,12,2017-03-31,boa merrill lynch,1250.0
294,2016,3,2016-03-31,12,2017-03-31,ubs,1250.0
295,2016,3,2016-03-31,12,2017-03-31,anz,1235.0
296,2016,3,2016-03-31,12,2017-03-31,deutsche bank,1230.0
297,2016,3,2016-03-31,12,2017-03-31,macquarie,1215.0
298,2016,3,2016-03-31,12,2017-03-31,cpm group,1209.0
299,2016,3,2016-03-31,12,2017-03-31,oxford economics,1200.0
300,2016,3,2016-03-31,12,2017-03-31,td economics,1185.0
301,2016,3,2016-03-31,12,2017-03-31,morgan stanley,1180.0
302,2016,3,2016-03-31,12,2017-03-31,credit suisse,1175.0
303,2016,3,2016-03-31,12,2017-03-31,econ intelligence unit,1175.0
304,2016,3,2016-03-31,12,2017-03-31,ihs global insight,1157.6214650797
305,2016,3,2016-03-31,12,2017-03-31,investec,1150.0
306,2016,3,2016-03-31,12,2017-03-31,rbc capital markets,1150.0
307,2016,3,2016-03-31,12,2017-03-31,commonwealth bank,1138.68345003273
308,2016,3,2016-03-31,12,2017-03-31,moodys analytics,1118.0
309,2016,3,2016-03-31,12,2017-03-31,liberum capital,1115.3311531939
310,2016,3,2016-03-31,12,2017-03-31,banco de credito del peru,1110.0
311,2016,3,2016-03-31,12,2017-03-31,citigroup,1100.0
312,2016,3,2016-03-31,12,2017-03-31,wilson htm,1100.0
313,2016,3,2016-03-31,12,2017-03-31,euromonitor international,1058.43646491806
314,2016,3,2016-03-31,12,2017-03-31,australia dept of industry,1011.0
315,2016,3,2016-03-31,12,2017-03-31,societe generale,955.0
316,2016,3,2016-03-31,15,2017-06-30,consensus mean,1181.7245006496053
317,2016,3,2016-03-31,15,2017-06-30,high,1355.0
318,2016,3,2016-03-31,15,2017-06-30,low,950.0
319,2016,3,2016-03-31,15,2017-06-30,capital economics,1355.0
320,2016,3,2016-03-31,15,2017-06-30,boa merrill lynch,1300.0
321,2016,3,2016-03-31,15,2017-06-30,ubs,1250.0
322,2016,3,2016-03-31,15,2017-06-30,anz,1275.0
323,2016,3,2016-03-31,15,2017-06-30,deutsche bank,1250.0
324,2016,3,2016-03-31,15,2017-06-30,macquarie,1250.0
325,2016,3,2016-03-31,15,2017-06-30,cpm group,1230.0
326,2016,3,2016-03-31,15,2017-06-30,oxford economics,1226.448
327,2016,3,2016-03-31,15,2017-06-30,td economics,1185.0
328,2016,3,2016-03-31,15,2017-06-30,morgan stanley,1150.0
329,2016,3,2016-03-31,15,2017-06-30,credit suisse,1175.0
330,2016,3,2016-03-31,15,2017-06-30,econ intelligence unit,1200.0
331,2016,3,2016-03-31,15,2017-06-30,ihs global insight,1147.20209867901
332,2016,3,2016-03-31,15,2017-06-30,investec,1175.0
333,2016,3,2016-03-31,15,2017-06-30,rbc capital markets,1200.0
334,2016,3,2016-03-31,15,2017-06-30,commonwealth bank,1151.10407767581
335,2016,3,2016-03-31,15,2017-06-30,moodys analytics,1120.74
336,2016,3,2016-03-31,15,2017-06-30,liberum capital,1115.3311531939
337,2016,3,2016-03-31,15,2017-06-30,banco de credito del peru,1100.0
338,2016,3,2016-03-31,15,2017-06-30,citigroup,1110.0
339,2016,3,2016-03-31,15,2017-06-30,wilson htm,1125.0
340,2016,3,2016-03-31,15,2017-06-30,euromonitor international,1064.5626860418
341,2016,3,2016-03-31,15,2017-06-30,australia dept of industry,1256.0
342,2016,3,2016-03-31,15,2017-06-30,societe generale,950.0
343,2016,3,2016-03-31,18,2017-09-30,consensus mean,1176.3513344769003
344,2016,3,2016-03-31,18,2017-09-30,high,1370.0
345,2016,3,2016-03-31,18,2017-09-30,low,950.0
346,2016,3,2016-03-31,18,2017-09-30,capital economics,1370.0
347,2016,3,2016-03-31,18,2017-09-30,boa merrill lynch,1200.0
348,2016,3,2016-03-31,18,2017-09-30,ubs,1200.0
349,2016,3,2016-03-31,18,2017-09-30,anz,1312.5
350,2016,3,2016-03-31,18,2017-09-30,deutsche bank,1175.0
351,2016,3,2016-03-31,18,2017-09-30,macquarie,1230.0
352,2016,3,2016-03-31,18,2017-09-30,cpm group,1227.0
353,2016,3,2016-03-31,18,2017-09-30,oxford economics,1230.985
354,2016,3,2016-03-31,18,2017-09-30,td economics,1175.0
355,2016,3,2016-03-31,18,2017-09-30,morgan stanley,1150.0
356,2016,3,2016-03-31,18,2017-09-30,credit suisse,1175.0
357,2016,3,2016-03-31,18,2017-09-30,econ intelligence unit,1220.0
358,2016,3,2016-03-31,18,2017-09-30,ihs global insight,1149.55411645891
359,2016,3,2016-03-31,18,2017-09-30,investec,1175.0
360,2016,3,2016-03-31,18,2017-09-30,rbc capital markets,1200.0
361,2016,3,2016-03-31,18,2017-09-30,commonwealth bank,1164.20838584385
362,2016,3,2016-03-31,18,2017-09-30,moodys analytics,1133.3
363,2016,3,2016-03-31,18,2017-09-30,liberum capital,1115.3311531939
364,2016,3,2016-03-31,18,2017-09-30,banco de credito del peru,1115.0
365,2016,3,2016-03-31,18,2017-09-30,citigroup,1110.0
366,2016,3,2016-03-31,18,2017-09-30,wilson htm,1125.0
367,2016,3,2016-03-31,18,2017-09-30,euromonitor international,1073.55337194895
368,2016,3,2016-03-31,18,2017-09-30,australia dept of industry,1256.0
369,2016,3,2016-03-31,18,2017-09-30,societe generale,950.0
370,2016,3,2016-03-31,21,2017-12-31,consensus mean,1185.8894941015044
371,2016,3,2016-03-31,21,2017-12-31,high,1385.0
372,2016,3,2016-03-31,21,2017-12-31,low,950.0
373,2016,3,2016-03-31,21,2017-12-31,capital economics,1385.0
374,2016,3,2016-03-31,21,2017-12-31,ubs,1275.0
375,2016,3,2016-03-31,21,2017-12-31,anz,1337.5
376,2016,3,2016-03-31,21,2017-12-31,deutsche bank,1210.0
377,2016,3,2016-03-31,21,2017-12-31,macquarie,1250.0
378,2016,3,2016-03-31,21,2017-12-31,cpm group,1246.0
379,2016,3,2016-03-31,21,2017-12-31,oxford economics,1235.663
380,2016,3,2016-03-31,21,2017-12-31,td economics,1150.0
381,2016,3,2016-03-31,21,2017-12-31,morgan stanley,1150.0
382,2016,3,2016-03-31,21,2017-12-31,credit suisse,1175.0
383,2016,3,2016-03-31,21,2017-12-31,econ intelligence unit,1210.0
384,2016,3,2016-03-31,21,2017-12-31,ihs global insight,1147.35044574476
385,2016,3,2016-03-31,21,2017-12-31,investec,1200.0
386,2016,3,2016-03-31,21,2017-12-31,rbc capital markets,1200.0
387,2016,3,2016-03-31,21,2017-12-31,commonwealth bank,1188.95466246873
388,2016,3,2016-03-31,21,2017-12-31,moodys analytics,1154.94
389,2016,3,2016-03-31,21,2017-12-31,liberum capital,1115.3311531939
390,2016,3,2016-03-31,21,2017-12-31,banco de credito del peru,1120.0
391,2016,3,2016-03-31,21,2017-12-31,citigroup,1110.0
392,2016,3,2016-03-31,21,2017-12-31,wilson htm,1125.0
393,2016,3,2016-03-31,21,2017-12-31,euromonitor international,1083.71910292721
394,2016,3,2016-03-31,21,2017-12-31,australia dept of industry,1256.0
395,2016,3,2016-03-31,21,2017-12-31,societe generale,950.0
396,2016,3,2016-03-31,24,2018-03-31,consensus mean,1194.9728743738913
397,2016,3,2016-03-31,24,2018-03-31,high,1395.0
398,2016,3,2016-03-31,24,2018-03-31,low,950.0
399,2016,3,2016-03-31,24,2018-03-31,capital economics,1395.0
400,2016,3,2016-03-31,24,2018-03-31,ubs,1275.0
401,2016,3,2016-03-31,24,2018-03-31,anz,1375.0
402,2016,3,2016-03-31,24,2018-03-31,deutsche bank,1290.0
403,2016,3,2016-03-31,24,2018-03-31,macquarie,1275.0
404,2016,3,2016-03-31,24,2018-03-31,cpm group,1267.0
